id,action,verb,noun
0,open_door,2,8
1,open_drawer,2,9
2,put-down_knife,1,5
3,cut_courgette,5,69
4,stir_courgette,6,69
5,wash_celery,4,185
6,put-down_celery,1,185
7,take_spatula,0,22
8,close_tap,3,3
9,take_cup,0,23
10,put_plate,1,4
11,open_fridge,2,10
12,grate_carrot,37,40
13,stir_vegetable,6,90
14,pour_oil,7,24
15,open_salt,2,31
16,take_rice,0,44
17,open_container,2,29
18,take_bottle,0,28
19,scoop_rice,19,44
20,put-down_spoon,1,7
21,put-down_spatula,1,22
22,stir_rice,6,44
23,take_container,0,29
24,wash_pan,4,1
25,put-down_holder:pot,1,182
26,put-down_pizza,1,114
27,put_cup,1,23
28,move_saucepan,9,1
29,take_board:cutting,0,19
30,throw_cover,8,102
31,cut_broccoli,5,173
32,close_bin,3,25
33,fill_pan,24,1
34,take_box:fruit,0,39
35,take_scissors,0,76
36,peel_onion,16,13
37,switch_kettle,70,38
38,cut_onion,5,13
39,open_bin,2,25
40,put-down_salt,1,31
41,put_nut,1,147
42,move_plug,9,175
43,stir_nut:pine,6,147
44,put-down_pan,1,1
45,move_salt,9,31
46,put_mesh,1,219
47,pour_water,7,17
48,put-down_board:cutting,1,19
49,put_clove,1,45
50,take_spoon,0,7
51,pour_nut:pine,7,147
52,use_spoon:wooden,45,7
53,stir_sauce,6,41
54,turn-off_hob,15,47
55,stir_pasta,6,35
56,check_stove,20,47
57,take_pan,0,1
58,tap_spoon,55,7
59,take_fork,0,18
60,take_knife,0,5
61,close_fridge,3,10
62,put-in_cooker:rice,22,57
63,put-into_cupboard,22,8
64,wash_board:cutting,4,19
65,take_flour,0,93
66,take_pizza,0,114
67,squeeze_dough,21,48
68,move_spoon,9,7
69,pick-up_bacon,0,133
70,put-down_bag,1,20
71,pour_tomato,7,30
72,open_sweetcorn,2,161
73,spoon_pesto,19,136
74,slice_tomato,5,30
75,put_jar,1,60
76,take_mozzarella,0,51
77,slice_cheese,5,51
78,turn-on_tap,12,3
79,take_bowl,0,6
80,throw_rubbish,8,108
81,take_plate,0,4
82,turn-over_tortilla,32,80
83,pick-up_yoghurt,0,116
84,cut_bag:pasta,5,20
85,take_potato,0,27
86,slice_potato,5,27
87,put_soap,1,98
88,open_tap,2,3
89,shake_pepper,14,46
90,rinse_hand,4,12
91,wash_container,4,29
92,close_door,3,8
93,remove_lid,10,11
94,turn_switch,13,154
95,stir_chicken,6,62
96,wash_fork,4,18
97,wipe_table,4,53
98,open_bag:cereal,2,20
99,scrape_tomato,26,30
100,throw_centre:tomato,8,30
101,drain_water:coriander,48,17
102,put-down_coriander,1,223
103,throw_cilantro,8,223
104,put-down_box:cereal,1,39
105,squeeze_lemon,21,129
106,add_soap,25,98
107,enter_kitchen,42,123
108,clean_catcher:sink,4,59
109,place_coffee,1,58
110,take_bread,0,52
111,change_temperature,17,106
112,mash_avocado,37,134
113,grab_spice,0,79
114,close_dishwasher,3,49
115,rinse_potato,4,27
116,place_processor:food,1,146
117,measure_pan,57,1
118,wash_leaf:lettuce,4,72
